year,type,discipline,event,as,athlete_id,noc,medal
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Thomas Rundqvist,97000,SWE,Bronze
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Arto Ruotanen,97003,FIN,Silver
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Reijo Ruotsalainen,97005,FIN,Silver
1984,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Dárius Rusnák,97012,TCH,Silver
1972,Winter,Alpine Skiing (Skiing),"Downhill, Men",Bernhard Russi,97014,SUI,Gold
1976,Winter,Alpine Skiing (Skiing),"Downhill, Men",Bernhard Russi,97014,SUI,Silver
1932,Winter,Cross Country Skiing (Skiing),"50 kilometres, Men",Arne Rustadstuen,97015,NOR,Bronze
1932,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men",Birger Ruud,97018,NOR,Gold
1936,Winter,Alpine Skiing (Skiing),"Large Hill, Individual, Men",Birger Ruud,97018,NOR,Gold
1948,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men",Birger Ruud,97018,NOR,Silver
1928,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men",Sigmund Ruud,97020,NOR,Silver
1984,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Vladimír Růžička,97022,TCH,Silver
1998,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Vladimír Růžička,97022,CZE,Gold
1994,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Daniel Rydmark,97027,SWE,Gold
1948,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Beat Rüedi,97029,SUI,Bronze
1928,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Luzius Rüedi,97030,SUI,Bronze
1948,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Sauli Rytky,97037,FIN,Silver
1960,Winter,Cross Country Skiing (Skiing),"30 kilometres, Men",Rolf Rämgård,97041,SWE,Silver
1960,Winter,Cross Country Skiing (Skiing),"50 kilometres, Men",Rolf Rämgård,97041,SWE,Bronze
1992,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Jari Räsänen,97042,FIN,Bronze
1994,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Jari Räsänen,97042,FIN,Bronze
1932,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Erich Römer,97047,GER,Bronze
1980,Winter,Speed Skating (Skating),"1,000 metres, Men",Frode Rønning,97050,NOR,Bronze
1964,Winter,Cross Country Skiing (Skiing),"50 kilometres, Men",Assar Rönnlund,97051,SWE,Silver
1964,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Assar Rönnlund,97051,SWE,Gold
1968,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Assar Rönnlund,97051,SWE,Silver
1972,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Mauri Röppänen,97052,FIN,Silver
1980,Winter,Biathlon,"20 kilometres, Men",Eberhard Rösch,97053,GDR,Bronze
1980,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Eberhard Rösch,97053,GDR,Silver
1984,Winter,Biathlon,"20 kilometres, Men",Frank-Peter Roetsch,97058,GDR,Silver
1988,Winter,Biathlon,"10 kilometres Sprint, Men",Frank-Peter Roetsch,97058,GDR,Gold
1988,Winter,Biathlon,"20 kilometres, Men",Frank-Peter Roetsch,97058,GDR,Gold
1984,Winter,Figure Skating (Skating),"Singles, Men",Jozef Sabovčík,97064,TCH,Bronze
1972,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Rinnat Safin,97074,URS,Gold
1976,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Einar Sagstuen,97077,NOR,Silver
1956,Winter,Alpine Skiing (Skiing),"Downhill, Men",Toni Sailer,97080,AUT,Gold
1956,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men",Toni Sailer,97080,AUT,Gold
1956,Winter,Alpine Skiing (Skiing),"Slalom, Men",Toni Sailer,97080,AUT,Gold
1936,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Ralph Saint Germain,97082,CAN,Silver
1972,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Esko Saira,97085,FIN,Silver
1976,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Esko Saira,97085,FIN,Silver
1992,Winter,Ski Jumping (Skiing),"Large Hill, Team, Men",Jaroslav Sakala,97089,TCH,Bronze
1988,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Vladimir Sakhnov,97090,URS,Silver
1980,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",András Sallay,97099,HUN,Silver
1984,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Algimantas Šalna,97104,URS,Gold
1994,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Tommy Salo,97105,SWE,Gold
1956,Winter,Speed Skating (Skating),"1,500 metres, Men",Toivo Salonen,97108,FIN,Bronze
1984,Winter,Bobsleigh (Bobsleigh),"Four, Men",Urs Salzmann,97118,SUI,Bronze
1960,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",George Samolenko,97127,CAN,Silver
1956,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Ed Sampson,97130,USA,Silver
1956,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Gunnar Samuelsson,97133,SWE,Bronze
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Tommy Samuelsson,97134,SWE,Bronze
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Tommy Samuelsson,97134,SWE,Bronze
1984,Winter,Nordic Combined (Skiing),"Individual, Men",Tom Sandberg,97143,NOR,Gold
1972,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men","Frank Sanders, Jr.",97146,USA,Silver
1968,Winter,Speed Skating (Skating),"10,000 metres, Men",Örjan Sandler,97149,SWE,Bronze
1984,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Tomas Sandström,97154,SWE,Bronze
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Ulf Sandström,97155,SWE,Bronze
1972,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Craig Sarner,97166,USA,Silver
1994,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Brian Savage,97198,CAN,Silver
1976,Winter,Cross Country Skiing (Skiing),"30 kilometres, Men",Sergey Savelyev,97200,URS,Gold
1976,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Sergey Savelyev,97200,URS,Bronze
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Bedřich Ščerban,97216,TCH,Bronze
1976,Winter,Luge,"Doubles, Open",Franz Schachner,97218,AUT,Bronze
1984,Winter,Bobsleigh (Bobsleigh),"Two, Men",Dietmar Schauerhammer,97224,GDR,Gold
1984,Winter,Bobsleigh (Bobsleigh),"Four, Men",Dietmar Schauerhammer,97224,GDR,Gold
1988,Winter,Bobsleigh (Bobsleigh),"Four, Men",Dietmar Schauerhammer,97224,GDR,Silver
1972,Winter,Luge,"Singles, Men",Wolfgang Scheidel,97227,GDR,Gold
1968,Winter,Speed Skating (Skating),"1,500 metres, Men",Ard Schenk,97231,NED,Silver
1972,Winter,Speed Skating (Skating),"1,500 metres, Men",Ard Schenk,97231,NED,Gold
1972,Winter,Speed Skating (Skating),"5,000 metres, Men",Ard Schenk,97231,NED,Gold
1972,Winter,Speed Skating (Skating),"10,000 metres, Men",Ard Schenk,97231,NED,Gold
1924,Winter,Bobsleigh (Bobsleigh),"Four/Five, Men",Eduard Scherrer,97235,SUI,Gold
1992,Winter,Bobsleigh (Bobsleigh),"Four, Men",Lorenz Schindelholz,97253,SUI,Bronze
1948,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men",Thorleif Schjelderup,97258,NOR,Bronze
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Brad Schlegel,97262,CAN,Silver
1994,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Brad Schlegel,97262,CAN,Silver
2014,Winter,Figure Skating (Skating),"Team, Mixed",Dylan Moscovitch,127485,CAN,Silver
1976,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Alois Schloder,97265,FRG,Bronze
1924,Winter,Bobsleigh (Bobsleigh),"Four/Five, Men",Alfred Schläppi,97268,SUI,Gold
1924,Winter,Bobsleigh (Bobsleigh),"Four/Five, Men",Heinrich Schläppi,97269,SUI,Gold
1968,Winter,Luge,"Singles, Men",Manfred Schmid,97276,AUT,Gold
1968,Winter,Luge,"Doubles, Open",Manfred Schmid,97276,AUT,Silver
1976,Winter,Luge,"Doubles, Open",Rudolf Schmid,97278,AUT,Bronze
1992,Winter,Luge,"Singles, Men",Markus Schmidt,97284,AUT,Bronze
1972,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men",Rainer Schmidt,97287,GDR,Bronze
1976,Winter,Ski Jumping (Skiing),"Normal Hill, Individual, Men",Karl Schnabl,97291,AUT,Bronze
1976,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men",Karl Schnabl,97291,AUT,Gold
1952,Winter,Alpine Skiing (Skiing),"Downhill, Men",Othmar Schneider,97300,AUT,Silver
1952,Winter,Alpine Skiing (Skiing),"Slalom, Men",Othmar Schneider,97300,AUT,Gold
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Buzz Schneider,97301,USA,Gold
1964,Winter,Figure Skating (Skating),"Singles, Men",Manfred Schnelldorfer,97303,GER,Gold
1956,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",George Scholes,97308,CAN,Bronze
1964,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men",Karl Schranz,97312,AUT,Silver
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Wally Schreiber,97313,CAN,Silver
1994,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Wally Schreiber,97313,CAN,Silver
1948,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Reg Schroeter,97317,CAN,Gold
1992,Winter,Bobsleigh (Bobsleigh),"Four, Men",Thomas Schroll,97318,AUT,Gold
1980,Winter,Luge,"Doubles, Open",Karl Schrott,97320,AUT,Bronze
1932,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Martin Schröttle,97324,GER,Bronze
1948,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Otto Schubiger,97327,SUI,Bronze
1956,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men",Walter Schuster,97339,AUT,Bronze
1988,Winter,Luge,"Doubles, Open",Thomas Schwab,97341,FRG,Bronze
1976,Winter,Luge,"Doubles, Open",Balthasar Schwarm,97344,FRG,Silver
1988,Winter,Nordic Combined (Skiing),"Team, Men",Hubert Schwarz,97348,FRG,Gold
1968,Winter,Figure Skating (Skating),"Singles, Men",Wolfgang Schwarz,97349,AUT,Gold
1932,Winter,Figure Skating (Skating),"Singles, Men",Karl Schäfer,97368,AUT,Gold
1936,Winter,Figure Skating (Skating),"Singles, Men",Karl Schäfer,97368,AUT,Gold
1976,Winter,Bobsleigh (Bobsleigh),"Two, Men",Erich Schärer,97370,SUI,Bronze
1976,Winter,Bobsleigh (Bobsleigh),"Four, Men",Erich Schärer,97370,SUI,Silver
1980,Winter,Bobsleigh (Bobsleigh),"Two, Men",Erich Schärer,97370,SUI,Gold
1980,Winter,Bobsleigh (Bobsleigh),"Four, Men",Erich Schärer,97370,SUI,Silver
1984,Winter,Speed Skating (Skating),"5,000 metres, Men",René Schöfisch,97372,GDR,Bronze
1984,Winter,Speed Skating (Skating),"10,000 metres, Men",René Schöfisch,97372,GDR,Bronze
1980,Winter,Bobsleigh (Bobsleigh),"Four, Men",Horst Schönau,97375,GDR,Bronze
1994,Winter,Freestyle Skiing (Skiing),"Aerials, Men",Sonny Schönbächler,97377,SUI,Gold
1988,Winter,Nordic Combined (Skiing),"Team, Men",Andreas Schaad,97382,SUI,Silver
1994,Winter,Nordic Combined (Skiing),"Team, Men",Andreas Schaad,97382,SUI,Bronze
1952,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Louis Secco,97392,CAN,Gold
1952,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Jim Sedin,97395,USA,Silver
1952,Winter,Figure Skating (Skating),"Singles, Men",Helmut Seibt,97403,AUT,Silver
1998,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Teemu Selänne,97424,FIN,Bronze
2014,Winter,Figure Skating (Skating),"Team, Mixed",Eric Radford,127487,CAN,Silver
2014,Winter,Figure Skating (Skating),"Team, Mixed",Kevin Reynolds,127488,CAN,Silver
2014,Winter,Figure Skating (Skating),"Team, Mixed",Yelena Ilinykh,128351,RUS,Gold
1994,Winter,Bobsleigh (Bobsleigh),"Four, Men",Domenico Semeraro,97427,SUI,Silver
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Anatoly Semyonov,97428,URS,Gold
1964,Winter,Luge,"Doubles, Open",Reinhold Senn,97433,AUT,Silver
1968,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",František Ševčík,97451,TCH,Silver
1924,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Blaine Sexton,97454,GBR,Bronze
1948,Winter,Speed Skating (Skating),"1,500 metres, Men",Åke Seyffarth,97456,SWE,Silver
1948,Winter,Speed Skating (Skating),"10,000 metres, Men",Åke Seyffarth,97456,SWE,Gold
1972,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Vladimir Shadrin,97459,URS,Gold
1976,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Vladimir Shadrin,97459,URS,Gold
1980,Winter,Figure Skating (Skating),"Pairs, Mixed",Sergey Shakhray,97460,URS,Silver
1976,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Viktor Shalimov,97464,URS,Gold
1936,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men","Frank Shaughnessy, Jr.",97471,USA,Bronze
1932,Winter,Speed Skating (Skating),"500 metres, Men",Jack Shea,97475,USA,Gold
1932,Winter,Speed Skating (Skating),"1,500 metres, Men",Jack Shea,97475,USA,Gold
1972,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Tim Sheehy,97477,USA,Silver
1998,Winter,Luge,"Doubles, Open",Gordy Sheer,97478,USA,Silver
1960,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Anatoly Shelyukhin,97482,URS,Bronze
1956,Winter,Speed Skating (Skating),"5,000 metres, Men",Boris Shilkov,97493,URS,Gold
2014,Winter,Figure Skating (Skating),"Team, Mixed",Yuliya Lipnitskaya,128352,RUS,Gold
1998,Winter,Speed Skating (Skating),"500 metres, Men",Hiroyasu Shimizu,97498,JPN,Gold
1998,Winter,Speed Skating (Skating),"1,000 metres, Men",Hiroyasu Shimizu,97498,JPN,Bronze
2014,Winter,Figure Skating (Skating),"Team, Mixed",Kseniya Stolbova,128355,RUS,Gold
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Mikhail Shtalenkov,97511,EUN,Gold
1998,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Mikhail Shtalenkov,97511,RUS,Silver
1994,Winter,Freestyle Skiing (Skiing),"Moguls, Men",Sergey Shupletsov,97514,RUS,Silver
1956,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Viktor Shuvalov,97517,URS,Gold
1976,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Aleksandr Sidelnikov,97518,URS,Gold
1956,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Genrikh Sidorenkov,97519,URS,Gold
1960,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Genrikh Sidorenkov,97519,URS,Bronze
1980,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Klaus Siebert,97520,GDR,Silver
2014,Winter,Figure Skating (Skating),"Team, Mixed",Nikita Katsalapov,128356,RUS,Gold
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Dave Silk,97537,USA,Gold
1948,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Lauri Silvennoinen,97542,FIN,Silver
1972,Winter,Cross Country Skiing (Skiing),"15 kilometres, Men",Fyodor Simashov,97546,URS,Silver
1972,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Fyodor Simashov,97546,URS,Gold
1932,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Hack Simpson,97558,CAN,Gold
1936,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Alex Sinclair,97563,CAN,Silver
1984,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Jaromír Šindel,97564,TCH,Silver
1960,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Harry Sinden,97565,CAN,Silver
1964,Winter,Bobsleigh (Bobsleigh),"Four, Men",Gildo Siorpaes,97569,ITA,Bronze
1964,Winter,Bobsleigh (Bobsleigh),"Two, Men",Sergio Siorpaes,97570,ITA,Bronze
1964,Winter,Bobsleigh (Bobsleigh),"Four, Men",Sergio Siorpaes,97570,ITA,Bronze
1994,Winter,Cross Country Skiing (Skiing),"50 kilometres, Men",Sture Sivertsen,97580,NOR,Bronze
1994,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Sture Sivertsen,97580,NOR,Silver
1998,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Sture Sivertsen,97580,NOR,Gold
1992,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Kristen Skjeldal,97598,NOR,Gold
2014,Winter,Figure Skating (Skating),"Team, Mixed",Fyodor Klimov,128357,RUS,Gold
2014,Winter,Figure Skating (Skating),"Team, Mixed",Marissa Castelli,128717,USA,Bronze
1972,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Yury Skobov,97602,URS,Gold
1924,Winter,Speed Skating (Skating),"5,000 metres, Men",Julius Skutnabb,97613,FIN,Silver
1924,Winter,Speed Skating (Skating),"10,000 metres, Men",Julius Skutnabb,97613,FIN,Gold
1924,Winter,Speed Skating (Skating),"Allround, Men",Julius Skutnabb,97613,FIN,Bronze
1928,Winter,Speed Skating (Skating),"5,000 metres, Men",Julius Skutnabb,97613,FIN,Silver
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Aleksandr Skvortsov,97615,URS,Silver
1984,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Aleksandr Skvortsov,97615,URS,Gold
1948,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Miroslav Sláma,97622,TCH,Silver
1924,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Sig Slater,97624,CAN,Gold
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Jiří Šlégr,97626,TCH,Bronze
1998,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Jiří Šlégr,97626,CZE,Gold
1932,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Marquard Slevogt,97627,GER,Bronze
1960,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Darryl Sly,97635,CAN,Silver
1952,Winter,Cross Country Skiing (Skiing),"Individual, Men",Simon Slåttvik,97636,NOR,Gold
1924,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Irv Small,97637,USA,Silver
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Richard Šmehlík,97640,TCH,Bronze
1998,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Richard Šmehlík,97640,CZE,Gold
1964,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Ladislav Šmíd,97642,TCH,Bronze
1988,Winter,Cross Country Skiing (Skiing),"15 kilometres, Men",Vladimir Smirnov,97646,URS,Bronze
1988,Winter,Cross Country Skiing (Skiing),"30 kilometres, Men",Vladimir Smirnov,97646,URS,Silver
1988,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Vladimir Smirnov,97646,URS,Silver
1994,Winter,Cross Country Skiing (Skiing),"10 kilometres, Men",Vladimir Smirnov,97646,KAZ,Silver
1994,Winter,Cross Country Skiing (Skiing),"50 kilometres, Men",Vladimir Smirnov,97646,KAZ,Gold
1994,Winter,Cross Country Skiing (Skiing),"10/15 kilometres Pursuit, Men",Vladimir Smirnov,97646,KAZ,Silver
1998,Winter,Cross Country Skiing (Skiing),"10/15 kilometres Pursuit, Men",Vladimir Smirnov,97646,KAZ,Bronze
1932,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Gordon Smith,97648,USA,Silver
1936,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Gordon Smith,97648,USA,Bronze
1992,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Randy Smith,97651,CAN,Silver
1924,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Hooley Smith,97652,CAN,Gold
1928,Winter,Nordic Combined (Skiing),"Individual, Men",John Snersrud,97661,NOR,Bronze
1924,Winter,Bobsleigh (Bobsleigh),"Four/Five, Men",Rodney Soher,97673,GBR,Silver
1998,Winter,Ski Jumping (Skiing),"Normal Hill, Individual, Men",Jani Soininen,97675,FIN,Gold
1998,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men",Jani Soininen,97675,FIN,Silver
1968,Winter,Biathlon,"20 kilometres, Men",Magnar Solberg,97681,NOR,Gold
1968,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Magnar Solberg,97681,NOR,Silver
1972,Winter,Biathlon,"20 kilometres, Men",Magnar Solberg,97681,NOR,Gold
1956,Winter,Alpine Skiing (Skiing),"Slalom, Men",Stig Sollander,97686,SWE,Bronze
1956,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Nikolay Sologubov,97690,URS,Gold
1960,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Nikolay Sologubov,97690,URS,Bronze
1992,Winter,Short Track Speed Skating (Skating),"5,000 metres Relay, Men",Song Jae-Geun,97699,KOR,Gold
1994,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Pasi Sormunen,97706,FIN,Bronze
1936,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Frank Spain,97718,USA,Bronze
1972,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Dieter Speer,97720,GDR,Bronze
1952,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men",Toni Spiß,97732,AUT,Bronze
1932,Winter,Speed Skating (Skating),"10,000 metres, Men",Frank Stack,97750,CAN,Bronze
1984,Winter,Luge,"Doubles, Open",Hans Stanggassinger,97764,FRG,Gold
1994,Winter,Alpine Skiing (Skiing),"Slalom, Men",Thomas Stangassinger,97765,AUT,Gold
1980,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Sergey Starikov,97768,URS,Silver
1984,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Sergey Starikov,97768,URS,Gold
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Sergey Starikov,97768,URS,Gold
1964,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Vyacheslav Starshinov,97769,URS,Gold
1968,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Vyacheslav Starshinov,97769,URS,Gold
1972,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Bohuslav Šťastný,97772,TCH,Bronze
1976,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Bohuslav Šťastný,97772,TCH,Silver
1960,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men",Roger Staub,97777,SUI,Gold
1988,Winter,Luge,"Doubles, Open",Wolfgang Staudinger,97780,FRG,Bronze
2014,Winter,Figure Skating (Skating),"Team, Mixed",Gracie Gold,128720,USA,Bronze
2014,Winter,Figure Skating (Skating),"Team, Mixed",Ashley Wagner,128722,USA,Bronze
2014,Winter,Figure Skating (Skating),"Team, Mixed",Jason Brown,128725,USA,Bronze
2014,Winter,Figure Skating (Skating),"Team, Mixed",Simon Shnapir,128727,USA,Bronze
1964,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men",Janne Stefansson,97794,SWE,Gold
1972,Winter,Bobsleigh (Bobsleigh),"Four, Men",Walter Steinbauer,97803,FRG,Bronze
1984,Winter,Alpine Skiing (Skiing),"Downhill, Men",Anton Steiner,97808,AUT,Bronze
1972,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men",Walter Steiner,97813,SUI,Silver
1992,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men",Jens Steinigen,97814,GER,Gold
1984,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Igor Stelnov,97819,URS,Gold
1988,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Igor Stelnov,97819,URS,Gold
1932,Winter,Cross Country Skiing (Skiing),"Individual, Men",Ole Stenen,97822,NOR,Silver
1952,Winter,Cross Country Skiing (Skiing),"Individual, Men",Sverre Stenersen,97823,NOR,Bronze
1956,Winter,Nordic Combined (Skiing),"Individual, Men",Sverre Stenersen,97823,NOR,Gold
1964,Winter,Luge,"Doubles, Open",Manfred Stengl,97824,AUT,Gold
1960,Winter,Speed Skating (Skating),"1,500 metres, Men",Boris Stenin,97825,URS,Bronze
1976,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men",Ingemar Stenmark,97826,SWE,Bronze
1980,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men",Ingemar Stenmark,97826,SWE,Gold
1980,Winter,Alpine Skiing (Skiing),"Slalom, Men",Ingemar Stenmark,97826,SWE,Gold
1972,Winter,Speed Skating (Skating),"5,000 metres, Men",Sten Stensen,97827,NOR,Bronze
1972,Winter,Speed Skating (Skating),"10,000 metres, Men",Sten Stensen,97827,NOR,Bronze
1976,Winter,Speed Skating (Skating),"5,000 metres, Men",Sten Stensen,97827,NOR,Gold
1976,Winter,Speed Skating (Skating),"10,000 metres, Men",Sten Stensen,97827,NOR,Silver
1980,Winter,Speed Skating (Skating),"1,500 metres, Men",Kay Arne Stenshjemmet,97829,NOR,Silver
1980,Winter,Speed Skating (Skating),"5,000 metres, Men",Kay Arne Stenshjemmet,97829,NOR,Silver
1968,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Wayne Stephenson,97831,CAN,Bronze
1964,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Ulf Sterner,97833,SWE,Silver
1984,Winter,Bobsleigh (Bobsleigh),"Four, Men",Heinz Stettler,97834,SUI,Bronze
1998,Winter,Figure Skating (Skating),"Pairs, Mixed",Ingo Steuer,97835,GER,Bronze
1932,Winter,Bobsleigh (Bobsleigh),"Two, Men",Curtis Stevens,97837,USA,Gold
1932,Winter,Bobsleigh (Bobsleigh),"Four, Men",Paul Stevens,97839,USA,Silver
1932,Winter,Bobsleigh (Bobsleigh),"Two, Men",Hubert Stevens,97841,USA,Gold
1948,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men",Karel Stibor,97850,TCH,Silver
1960,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men",Pepi Stiegler,97851,AUT,Silver
1964,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men",Pepi Stiegler,97851,AUT,Bronze
1964,Winter,Alpine Skiing (Skiing),"Slalom, Men",Pepi Stiegler,97851,AUT,Gold
